product_id,name,category,price
1,Boden high neck jersey,tops,10.0
2,Seasalt white shirt,tops,15.0
3,Vintage crop tee,tops,12.5
4,Seasalt green,tops,12.0
5,Ivo blue,tops,15.0
6,Ivo v-neck blue,tops,30.0
8,Cotton metallic,skirt,15.0
9,Sophia black,skirt,22.0
12,Sarah ultra slim,jean,17.0
13,Johnny Ankle black,jean,22.0
14,High waist smoke green,jean,33.0
15,Cindy navy blue,skirt,35.0
16,Kim indigo,jean,18.0
17,Moose light blue,shirt,9.0
18,Moose navy blue,shirt,12.0
19,Moose organic black,shirt,19.0
20,Moose red,shirt,9.0
